"Volgnummer","id_geo","Plaats","Straat","Huisnummer","Toevoeging","Kad. gemeente","Kad. sectie","Kadastraal perceelnr.","Bram","dubbel_bram","geometry","geopackage","dubbel_geo"
"66034","54248","Andijk","Buttervin","35",NULL,"Andijk","K","2705","JA",False,"0101000020E61000006769063DE4DE144010808E796C5F4A40","JA",False
"66035","54249","Andijk","Buttervin","37",NULL,"Andijk","K","2705","JA",False,"0101000020E6100000A43B8087E8DE144083AA34636A5F4A40","JA",False
"66036","54250","Andijk","Buttervin","45",NULL,"Andijk","K","2698","JA",False,"0101000020E610000054FFF4BD8ADE144034201F446C5F4A40","JA",False
"66037","54251","Andijk","Buttervin","47",NULL,"Andijk","K","2697","JA",False,"0101000020E6100000D2625A2077DE1440A73B20E56B5F4A40","JA",False
"66038","54252","Andijk","Buttervin","49",NULL,"Andijk","K","2696","JA",False,"0101000020E61000003CD671714DDE1440C14A02336B5F4A40","JA",False
"66039","54253","Andijk","Buttervin","51",NULL,"Andijk","K","2695","JA",False,"0101000020E6100000D664EA3639DE1440001CC3EB6A5F4A40","JA",False
"66040","54254","Andijk","Buttervin","53",NULL,"Andijk","K","2694","JA",False,"0101000020E61000005C0315EB0EDE1440498A05166A5F4A40","JA",False
"66041","54255","Andijk","Buttervin","55",NULL,"Andijk","K","2693","JA",False,"0101000020E61000004DD1F09BFBDD14405ABE26AB695F4A40","JA",False
"66042","54256","Andijk","Buttervin","57",NULL,"Andijk","K","2241","JA",False,"0101000020E61000005CCB27BBC8DD14409E57B775695F4A40","JA",False
"66043","54257","Andijk","Buttervin","59",NULL,"Andijk","K","2240","JA",False,"0101000020E6100000C0C1A37CB8DD14405001583A695F4A40","JA",False
"66044","54258","Andijk","Buttervin","61",NULL,"Andijk","K","2239","JA",False,"0101000020E6100000EAA3CFB5A6DD14403FBB08F9685F4A40","JA",False
"66045","54259","Andijk","Buttervin","63",NULL,"Andijk","K","2238","JA",False,"0101000020E6100000BC886E4191DD1440181C5A7C685F4A40","JA",False
"66046","54260","Andijk","Buttervin","65",NULL,"Andijk","K","2237","JA",False,"0101000020E6100000207FEA0281DD1440CED30A3B685F4A40","JA",False
"66047","54261","Andijk","Buttervin","67",NULL,"Andijk","K","2236","JA",False,"0101000020E6100000B90D63C86CDD1440A7DD0BDC675F4A40","JA",False
"66048","54262","Andijk","Buttervin","69",NULL,"Andijk","K","2235","JA",False,"0101000020E61000008CB02B165ADD1440F4C4EC88675F4A40","JA",False
"66049","54263","Andijk","Buttervin","71",NULL,"Andijk","K","2234","JA",False,"0101000020E6100000085667B643DD144063BBDD2F675F4A40","JA",False
"66050","54264","Andijk","Buttervin","73",NULL,"Andijk","K","2233","JA",False,"0101000020E61000001D8A1B1C19DD1440DE1F4CC4675F4A40","JA",False
